Rps6kc1
Rpl31
Rpl37a
Rpl7
Rpl12
Rpl7a
Rpl35
Rps21
Rpl39
Rpl36a
Rps6ka3
Rpl10
Rps4x
Rps6ka6
Rps3a1
Rpl34
Rpl22l1
Rps27
Rpl22
Rps6ka1
Rps6
Rpl11
Rps8
Rps20
Rpl5
Rpl9
Rpl6
Rpl21
Rpl32
Rpl27a
Rps9
Rpl28
Rps19
Rps17
Rps3
Rps13
Rps15a
Rps5
Rpl18
Rps11
Rpl13a
Rps16
Rpl41
Rps26
Rps12
Rps15
Rpl18a
Rps23rg1
Rpl13
Rpl15
Rps24
Rpl10-ps3
Rps25
Rps27l
Rps27rt
Rpl29
Rpl14
Rpl4
Rpl23
Rpl19
Rps27a
Rpl27
Rpl26
Rps6kb1
Rpl38
Rpl23a
Rps23
Rps18-ps4
Rps18-ps6
Rps6kl1
Rpl10l
Rps29
Rpl36al
Rps6ka5
Rps7
Rpl37
Rpl30
Rps19bp1
Rpl3
Rpl8
Rpl24
Rpl39l
Rpl35a
Rps6ka2
Rps10
Rpl10a
Rpl7l1
Rps18
Rps2
Rpl3l
Rps28
Rpl36
Rps14
Rpl17
Rpl9-ps6
Rps6kb2
Rps6ka4
