lane	tile	row	col	rowshift	colshift
1	2609	1	1	0	0.1715
1	2610	1	2	0	0.1715
1	2611	1	3	0	0.1715
1	2612	1	4	0	0.1715
1	2613	1	5	0	0.1715
1	2614	1	6	0	0.1715
1	2615	1	7	0	0.1715
1	2616	1	8	0	0.1715
1	2617	1	9	0	0.1715
1	2618	1	10	0	0.1715
1	2509	2	1	0	0
1	2510	2	2	0	0
1	2511	2	3	0	0
1	2512	2	4	0	0
1	2513	2	5	0	0
1	2514	2	6	0	0
1	2515	2	7	0	0
1	2516	2	8	0	0
1	2517	2	9	0	0
1	2518	2	10	0	0
1	2409	3	1	0	0.1715
1	2410	3	2	0	0.1715
1	2411	3	3	0	0.1715
1	2412	3	4	0	0.1715
1	2413	3	5	0	0.1715
1	2414	3	6	0	0.1715
1	2415	3	7	0	0.1715
1	2416	3	8	0	0.1715
1	2417	3	9	0	0.1715
1	2418	3	10	0	0.1715
1	2309	4	1	0	0
1	2310	4	2	0	0
1	2311	4	3	0	0
1	2312	4	4	0	0
1	2313	4	5	0	0
1	2314	4	6	0	0
1	2315	4	7	0	0
1	2316	4	8	0	0
1	2317	4	9	0	0
1	2318	4	10	0	0
1	2209	5	1	0	0.1715
1	2210	5	2	0	0.1715
1	2211	5	3	0	0.1715
1	2212	5	4	0	0.1715
1	2213	5	5	0	0.1715
1	2214	5	6	0	0.1715
1	2215	5	7	0	0.1715
1	2216	5	8	0	0.1715
1	2217	5	9	0	0.1715
1	2218	5	10	0	0.1715
1	2109	6	1	0	0
1	2110	6	2	0	0
1	2111	6	3	0	0
1	2112	6	4	0	0
1	2113	6	5	0	0
1	2114	6	6	0	0
1	2115	6	7	0	0
1	2116	6	8	0	0
1	2117	6	9	0	0
1	2118	6	10	0	0
