lane	tile	row	col	rowshift	colshift
2	2644	1	1	0	0.1715
2	2645	1	2	0	0.1715
2	2646	1	3	0	0.1715
2	2647	1	4	0	0.1715
2	2648	1	5	0	0.1715
2	2649	1	6	0	0.1715
2	2650	1	7	0	0.1715
2	2651	1	8	0	0.1715
2	2652	1	9	0	0.1715
2	2653	1	10	0	0.1715
2	2544	2	1	0	0
2	2545	2	2	0	0
2	2546	2	3	0	0
2	2547	2	4	0	0
2	2548	2	5	0	0
2	2549	2	6	0	0
2	2550	2	7	0	0
2	2551	2	8	0	0
2	2552	2	9	0	0
2	2553	2	10	0	0
2	2444	3	1	0	0.1715
2	2445	3	2	0	0.1715
2	2446	3	3	0	0.1715
2	2447	3	4	0	0.1715
2	2448	3	5	0	0.1715
2	2449	3	6	0	0.1715
2	2450	3	7	0	0.1715
2	2451	3	8	0	0.1715
2	2452	3	9	0	0.1715
2	2453	3	10	0	0.1715
2	2344	4	1	0	0
2	2345	4	2	0	0
2	2346	4	3	0	0
2	2347	4	4	0	0
2	2348	4	5	0	0
2	2349	4	6	0	0
2	2350	4	7	0	0
2	2351	4	8	0	0
2	2352	4	9	0	0
2	2353	4	10	0	0
2	2244	5	1	0	0.1715
2	2245	5	2	0	0.1715
2	2246	5	3	0	0.1715
2	2247	5	4	0	0.1715
2	2248	5	5	0	0.1715
2	2249	5	6	0	0.1715
2	2250	5	7	0	0.1715
2	2251	5	8	0	0.1715
2	2252	5	9	0	0.1715
2	2253	5	10	0	0.1715
2	2144	6	1	0	0
2	2145	6	2	0	0
2	2146	6	3	0	0
2	2147	6	4	0	0
2	2148	6	5	0	0
2	2149	6	6	0	0
2	2150	6	7	0	0
2	2151	6	8	0	0
2	2152	6	9	0	0
2	2153	6	10	0	0
