lane	tile	row	col	rowshift	colshift
2	2609	1	1	0	0.1715
2	2610	1	2	0	0.1715
2	2611	1	3	0	0.1715
2	2612	1	4	0	0.1715
2	2613	1	5	0	0.1715
2	2614	1	6	0	0.1715
2	2615	1	7	0	0.1715
2	2616	1	8	0	0.1715
2	2617	1	9	0	0.1715
2	2618	1	10	0	0.1715
2	2509	2	1	0	0
2	2510	2	2	0	0
2	2511	2	3	0	0
2	2512	2	4	0	0
2	2513	2	5	0	0
2	2514	2	6	0	0
2	2515	2	7	0	0
2	2516	2	8	0	0
2	2517	2	9	0	0
2	2518	2	10	0	0
2	2409	3	1	0	0.1715
2	2410	3	2	0	0.1715
2	2411	3	3	0	0.1715
2	2412	3	4	0	0.1715
2	2413	3	5	0	0.1715
2	2414	3	6	0	0.1715
2	2415	3	7	0	0.1715
2	2416	3	8	0	0.1715
2	2417	3	9	0	0.1715
2	2418	3	10	0	0.1715
2	2309	4	1	0	0
2	2310	4	2	0	0
2	2311	4	3	0	0
2	2312	4	4	0	0
2	2313	4	5	0	0
2	2314	4	6	0	0
2	2315	4	7	0	0
2	2316	4	8	0	0
2	2317	4	9	0	0
2	2318	4	10	0	0
2	2209	5	1	0	0.1715
2	2210	5	2	0	0.1715
2	2211	5	3	0	0.1715
2	2212	5	4	0	0.1715
2	2213	5	5	0	0.1715
2	2214	5	6	0	0.1715
2	2215	5	7	0	0.1715
2	2216	5	8	0	0.1715
2	2217	5	9	0	0.1715
2	2218	5	10	0	0.1715
2	2109	6	1	0	0
2	2110	6	2	0	0
2	2111	6	3	0	0
2	2112	6	4	0	0
2	2113	6	5	0	0
2	2114	6	6	0	0
2	2115	6	7	0	0
2	2116	6	8	0	0
2	2117	6	9	0	0
2	2118	6	10	0	0
