lane	tile	row	col	rowshift	colshift
2	2635	1	1	0	0.1715
2	2636	1	2	0	0.1715
2	2637	1	3	0	0.1715
2	2638	1	4	0	0.1715
2	2639	1	5	0	0.1715
2	2640	1	6	0	0.1715
2	2641	1	7	0	0.1715
2	2642	1	8	0	0.1715
2	2643	1	9	0	0.1715
2	2644	1	10	0	0.1715
2	2535	2	1	0	0
2	2536	2	2	0	0
2	2537	2	3	0	0
2	2538	2	4	0	0
2	2539	2	5	0	0
2	2540	2	6	0	0
2	2541	2	7	0	0
2	2542	2	8	0	0
2	2543	2	9	0	0
2	2544	2	10	0	0
2	2435	3	1	0	0.1715
2	2436	3	2	0	0.1715
2	2437	3	3	0	0.1715
2	2438	3	4	0	0.1715
2	2439	3	5	0	0.1715
2	2440	3	6	0	0.1715
2	2441	3	7	0	0.1715
2	2442	3	8	0	0.1715
2	2443	3	9	0	0.1715
2	2444	3	10	0	0.1715
2	2335	4	1	0	0
2	2336	4	2	0	0
2	2337	4	3	0	0
2	2338	4	4	0	0
2	2339	4	5	0	0
2	2340	4	6	0	0
2	2341	4	7	0	0
2	2342	4	8	0	0
2	2343	4	9	0	0
2	2344	4	10	0	0
2	2235	5	1	0	0.1715
2	2236	5	2	0	0.1715
2	2237	5	3	0	0.1715
2	2238	5	4	0	0.1715
2	2239	5	5	0	0.1715
2	2240	5	6	0	0.1715
2	2241	5	7	0	0.1715
2	2242	5	8	0	0.1715
2	2243	5	9	0	0.1715
2	2244	5	10	0	0.1715
2	2135	6	1	0	0
2	2136	6	2	0	0
2	2137	6	3	0	0
2	2138	6	4	0	0
2	2139	6	5	0	0
2	2140	6	6	0	0
2	2141	6	7	0	0
2	2142	6	8	0	0
2	2143	6	9	0	0
2	2144	6	10	0	0
