lane	tile	row	col	rowshift	colshift
2	2601	1	1	0	0
2	2602	1	2	0	0
2	2603	1	3	0	0
2	2604	1	4	0	0
2	2605	1	5	0	0
2	2606	1	6	0	0
2	2607	1	7	0	0
2	2608	1	8	0	0
2	2609	1	9	0	0
2	2610	1	10	0	0
2	2501	2	1	0	0.1715
2	2502	2	2	0	0.1715
2	2503	2	3	0	0.1715
2	2504	2	4	0	0.1715
2	2505	2	5	0	0.1715
2	2506	2	6	0	0.1715
2	2507	2	7	0	0.1715
2	2508	2	8	0	0.1715
2	2509	2	9	0	0.1715
2	2510	2	10	0	0.1715
2	2401	3	1	0	0
2	2402	3	2	0	0
2	2403	3	3	0	0
2	2404	3	4	0	0
2	2405	3	5	0	0
2	2406	3	6	0	0
2	2407	3	7	0	0
2	2408	3	8	0	0
2	2409	3	9	0	0
2	2410	3	10	0	0
2	2301	4	1	0	0.1715
2	2302	4	2	0	0.1715
2	2303	4	3	0	0.1715
2	2304	4	4	0	0.1715
2	2305	4	5	0	0.1715
2	2306	4	6	0	0.1715
2	2307	4	7	0	0.1715
2	2308	4	8	0	0.1715
2	2309	4	9	0	0.1715
2	2310	4	10	0	0.1715
2	2201	5	1	0	0
2	2202	5	2	0	0
2	2203	5	3	0	0
2	2204	5	4	0	0
2	2205	5	5	0	0
2	2206	5	6	0	0
2	2207	5	7	0	0
2	2208	5	8	0	0
2	2209	5	9	0	0
2	2210	5	10	0	0
2	2101	6	1	0	0.1715
2	2102	6	2	0	0.1715
2	2103	6	3	0	0.1715
2	2104	6	4	0	0.1715
2	2105	6	5	0	0.1715
2	2106	6	6	0	0.1715
2	2107	6	7	0	0.1715
2	2108	6	8	0	0.1715
2	2109	6	9	0	0.1715
2	2110	6	10	0	0.1715
