lane	tile	row	col	rowshift	colshift
3	1653	1	1	0	0.1715
3	1654	1	2	0	0.1715
3	1655	1	3	0	0.1715
3	1656	1	4	0	0.1715
3	1657	1	5	0	0.1715
3	1658	1	6	0	0.1715
3	1659	1	7	0	0.1715
3	1660	1	8	0	0.1715
3	1661	1	9	0	0.1715
3	1662	1	10	0	0.1715
3	1553	2	1	0	0
3	1554	2	2	0	0
3	1555	2	3	0	0
3	1556	2	4	0	0
3	1557	2	5	0	0
3	1558	2	6	0	0
3	1559	2	7	0	0
3	1560	2	8	0	0
3	1561	2	9	0	0
3	1562	2	10	0	0
3	1453	3	1	0	0.1715
3	1454	3	2	0	0.1715
3	1455	3	3	0	0.1715
3	1456	3	4	0	0.1715
3	1457	3	5	0	0.1715
3	1458	3	6	0	0.1715
3	1459	3	7	0	0.1715
3	1460	3	8	0	0.1715
3	1461	3	9	0	0.1715
3	1462	3	10	0	0.1715
3	1353	4	1	0	0
3	1354	4	2	0	0
3	1355	4	3	0	0
3	1356	4	4	0	0
3	1357	4	5	0	0
3	1358	4	6	0	0
3	1359	4	7	0	0
3	1360	4	8	0	0
3	1361	4	9	0	0
3	1362	4	10	0	0
3	1253	5	1	0	0.1715
3	1254	5	2	0	0.1715
3	1255	5	3	0	0.1715
3	1256	5	4	0	0.1715
3	1257	5	5	0	0.1715
3	1258	5	6	0	0.1715
3	1259	5	7	0	0.1715
3	1260	5	8	0	0.1715
3	1261	5	9	0	0.1715
3	1262	5	10	0	0.1715
3	1153	6	1	0	0
3	1154	6	2	0	0
3	1155	6	3	0	0
3	1156	6	4	0	0
3	1157	6	5	0	0
3	1158	6	6	0	0
3	1159	6	7	0	0
3	1160	6	8	0	0
3	1161	6	9	0	0
3	1162	6	10	0	0
