lane	tile	row	col	rowshift	colshift
2	1661	1	1	0	0.1715
2	1662	1	2	0	0.1715
2	1663	1	3	0	0.1715
2	1664	1	4	0	0.1715
2	1665	1	5	0	0.1715
2	1666	1	6	0	0.1715
2	1667	1	7	0	0.1715
2	1668	1	8	0	0.1715
2	1669	1	9	0	0.1715
2	1670	1	10	0	0.1715
2	1561	2	1	0	0
2	1562	2	2	0	0
2	1563	2	3	0	0
2	1564	2	4	0	0
2	1565	2	5	0	0
2	1566	2	6	0	0
2	1567	2	7	0	0
2	1568	2	8	0	0
2	1569	2	9	0	0
2	1570	2	10	0	0
2	1461	3	1	0	0.1715
2	1462	3	2	0	0.1715
2	1463	3	3	0	0.1715
2	1464	3	4	0	0.1715
2	1465	3	5	0	0.1715
2	1466	3	6	0	0.1715
2	1467	3	7	0	0.1715
2	1468	3	8	0	0.1715
2	1469	3	9	0	0.1715
2	1470	3	10	0	0.1715
2	1361	4	1	0	0
2	1362	4	2	0	0
2	1363	4	3	0	0
2	1364	4	4	0	0
2	1365	4	5	0	0
2	1366	4	6	0	0
2	1367	4	7	0	0
2	1368	4	8	0	0
2	1369	4	9	0	0
2	1370	4	10	0	0
2	1261	5	1	0	0.1715
2	1262	5	2	0	0.1715
2	1263	5	3	0	0.1715
2	1264	5	4	0	0.1715
2	1265	5	5	0	0.1715
2	1266	5	6	0	0.1715
2	1267	5	7	0	0.1715
2	1268	5	8	0	0.1715
2	1269	5	9	0	0.1715
2	1270	5	10	0	0.1715
2	1161	6	1	0	0
2	1162	6	2	0	0
2	1163	6	3	0	0
2	1164	6	4	0	0
2	1165	6	5	0	0
2	1166	6	6	0	0
2	1167	6	7	0	0
2	1168	6	8	0	0
2	1169	6	9	0	0
2	1170	6	10	0	0
