lane	tile	row	col	rowshift	colshift
1	2617	1	1	0	0
1	2618	1	2	0	0
1	2619	1	3	0	0
1	2620	1	4	0	0
1	2621	1	5	0	0
1	2622	1	6	0	0
1	2623	1	7	0	0
1	2624	1	8	0	0
1	2625	1	9	0	0
1	2626	1	10	0	0
1	2517	2	1	0	0.1715
1	2518	2	2	0	0.1715
1	2519	2	3	0	0.1715
1	2520	2	4	0	0.1715
1	2521	2	5	0	0.1715
1	2522	2	6	0	0.1715
1	2523	2	7	0	0.1715
1	2524	2	8	0	0.1715
1	2525	2	9	0	0.1715
1	2526	2	10	0	0.1715
1	2417	3	1	0	0
1	2418	3	2	0	0
1	2419	3	3	0	0
1	2420	3	4	0	0
1	2421	3	5	0	0
1	2422	3	6	0	0
1	2423	3	7	0	0
1	2424	3	8	0	0
1	2425	3	9	0	0
1	2426	3	10	0	0
1	2317	4	1	0	0.1715
1	2318	4	2	0	0.1715
1	2319	4	3	0	0.1715
1	2320	4	4	0	0.1715
1	2321	4	5	0	0.1715
1	2322	4	6	0	0.1715
1	2323	4	7	0	0.1715
1	2324	4	8	0	0.1715
1	2325	4	9	0	0.1715
1	2326	4	10	0	0.1715
1	2217	5	1	0	0
1	2218	5	2	0	0
1	2219	5	3	0	0
1	2220	5	4	0	0
1	2221	5	5	0	0
1	2222	5	6	0	0
1	2223	5	7	0	0
1	2224	5	8	0	0
1	2225	5	9	0	0
1	2226	5	10	0	0
1	2117	6	1	0	0.1715
1	2118	6	2	0	0.1715
1	2119	6	3	0	0.1715
1	2120	6	4	0	0.1715
1	2121	6	5	0	0.1715
1	2122	6	6	0	0.1715
1	2123	6	7	0	0.1715
1	2124	6	8	0	0.1715
1	2125	6	9	0	0.1715
1	2126	6	10	0	0.1715
