RPL22
RPL11
RPS6KA1
RPS8
RPL5
RPS27
RPS6KC1
RPS7
RPS27A
RPL31
RPL37A
RPL32
RPL15
RPL14
RPL29
RPL24
RPL22L1
RPL39L
RPL35A
RPL9
RPL34-AS1
RPL34
RPS3A
RPL37
RPS23
RPS14
RPL26L1
RPS18
RPS10-NUDT3
RPS10
RPL10A
RPL7L1
RPS12
RPS6KA2
RPS6KA2-IT1
RPS6KA2-AS1
RPS20
RPL7
RPL30
RPL8
RPS6
RPL35
RPL12
RPL7A
RPS24
RPL27A
RPS13
RPS6KA4
RPS6KB2
RPS6KB2-AS1
RPS3
RPS25
RPS26
RPL41
RPL6
RPL21
RPL10L
RPS29
RPL36AL
RPS6KL1
RPS6KA5
RPS27L
RPL4
RPS17
RPL3L
RPS2
RPS15A
RPL13
RPL26
RPL23A
RPL23
RPL19
RPL27
RPS6KB1
RPL38
RPL17
RPS15
RPL36
RPS28
RPL18A
RPS16
RPS19
RPL18
RPL13A
RPS11
RPS9
RPL28
RPS5
RPS21
RPL3
RPS19BP1
RPS6KA3
RPS4X
RPS6KA6
RPL36A
RPL39
RPL10
RPS4Y1
RPS4Y2
